	tissue	age	sex	age_sex	tissue_age	condition	sample
Brain_10-m-18	Brain	18	m	18_m	Brain_18	Brain_m-18	Brain_10-m-18
Brain_11-m-21	Brain	21	m	21_m	Brain_21	Brain_m-21	Brain_11-m-21
Brain_12-f-21	Brain	21	f	21_f	Brain_21	Brain_f-21	Brain_12-f-21
Brain_13-m-9	Brain	9	m	9_m	Brain_9	Brain_m-9	Brain_13-m-9
Brain_14-m-12	Brain	12	m	12_m	Brain_12	Brain_m-12	Brain_14-m-12
Brain_15-m-12	Brain	12	m	12_m	Brain_12	Brain_m-12	Brain_15-m-12
Brain_16-m-1	Brain	1	m	1_m	Brain_1	Brain_m-1	Brain_16-m-1
Brain_17-m-3	Brain	3	m	3_m	Brain_3	Brain_m-3	Brain_17-m-3
Brain_18-f-6	Brain	6	f	6_f	Brain_6	Brain_f-6	Brain_18-f-6
Brain_19-f-1	Brain	1	f	1_f	Brain_1	Brain_f-1	Brain_19-f-1
Brain_1-m-21	Brain	21	m	21_m	Brain_21	Brain_m-21	Brain_1-m-21
Brain_20-f-21	Brain	21	f	21_f	Brain_21	Brain_f-21	Brain_20-f-21
Brain_21-m-15	Brain	15	m	15_m	Brain_15	Brain_m-15	Brain_21-m-15
Brain_22-m-15	Brain	15	m	15_m	Brain_15	Brain_m-15	Brain_22-m-15
Brain_23-m-24	Brain	24	m	24_m	Brain_24	Brain_m-24	Brain_23-m-24
Brain_24-f-9	Brain	9	f	9_f	Brain_9	Brain_f-9	Brain_24-f-9
Brain_25-m-6	Brain	6	m	6_m	Brain_6	Brain_m-6	Brain_25-m-6
Brain_26-m-27	Brain	27	m	27_m	Brain_27	Brain_m-27	Brain_26-m-27
Brain_27-m-15	Brain	15	m	15_m	Brain_15	Brain_m-15	Brain_27-m-15
Brain_28-f-1	Brain	1	f	1_f	Brain_1	Brain_f-1	Brain_28-f-1
Brain_2-m-1	Brain	1	m	1_m	Brain_1	Brain_m-1	Brain_2-m-1
Brain_30-m-21	Brain	21	m	21_m	Brain_21	Brain_m-21	Brain_30-m-21
Brain_31-f-6	Brain	6	f	6_f	Brain_6	Brain_f-6	Brain_31-f-6
Brain_34-f-3	Brain	3	f	3_f	Brain_3	Brain_f-3	Brain_34-f-3
Brain_35-m-3	Brain	3	m	3_m	Brain_3	Brain_m-3	Brain_35-m-3
Brain_36-m-24	Brain	24	m	24_m	Brain_24	Brain_m-24	Brain_36-m-24
Brain_37-m-27	Brain	27	m	27_m	Brain_27	Brain_m-27	Brain_37-m-27
Brain_38-f-12	Brain	12	f	12_f	Brain_12	Brain_f-12	Brain_38-f-12
Brain_39-m-12	Brain	12	m	12_m	Brain_12	Brain_m-12	Brain_39-m-12
Brain_3-m-1	Brain	1	m	1_m	Brain_1	Brain_m-1	Brain_3-m-1
Brain_40-m-6	Brain	6	m	6_m	Brain_6	Brain_m-6	Brain_40-m-6
Brain_41-m-15	Brain	15	m	15_m	Brain_15	Brain_m-15	Brain_41-m-15
Brain_42-f-15	Brain	15	f	15_f	Brain_15	Brain_f-15	Brain_42-f-15
Brain_43-m-21	Brain	21	m	21_m	Brain_21	Brain_m-21	Brain_43-m-21
Brain_44-m-18	Brain	18	m	18_m	Brain_18	Brain_m-18	Brain_44-m-18
Brain_45-m-6	Brain	6	m	6_m	Brain_6	Brain_m-6	Brain_45-m-6
Brain_46-m-24	Brain	24	m	24_m	Brain_24	Brain_m-24	Brain_46-m-24
Brain_47-m-18	Brain	18	m	18_m	Brain_18	Brain_m-18	Brain_47-m-18
Brain_48-m-12	Brain	12	m	12_m	Brain_12	Brain_m-12	Brain_48-m-12
Brain_49-m-6	Brain	6	m	6_m	Brain_6	Brain_m-6	Brain_49-m-6
Brain_4-m-3	Brain	3	m	3_m	Brain_3	Brain_m-3	Brain_4-m-3
Brain_50-f-3	Brain	3	f	3_f	Brain_3	Brain_f-3	Brain_50-f-3
Brain_51-f-18	Brain	18	f	18_f	Brain_18	Brain_f-18	Brain_51-f-18
Brain_52-f-18	Brain	18	f	18_f	Brain_18	Brain_f-18	Brain_52-f-18
Brain_53-m-9	Brain	9	m	9_m	Brain_9	Brain_m-9	Brain_53-m-9
Brain_54-m-24	Brain	24	m	24_m	Brain_24	Brain_m-24	Brain_54-m-24
Brain_55-m-18	Brain	18	m	18_m	Brain_18	Brain_m-18	Brain_55-m-18
Brain_56-m-3	Brain	3	m	3_m	Brain_3	Brain_m-3	Brain_56-m-3
Brain_5-m-9	Brain	9	m	9_m	Brain_9	Brain_m-9	Brain_5-m-9
Brain_6-m-9	Brain	9	m	9_m	Brain_9	Brain_m-9	Brain_6-m-9
Brain_7-m-1	Brain	1	m	1_m	Brain_1	Brain_m-1	Brain_7-m-1
Brain_8-f-12	Brain	12	f	12_f	Brain_12	Brain_f-12	Brain_8-f-12
Brain_9-m-27	Brain	27	m	27_m	Brain_27	Brain_m-27	Brain_9-m-27
